,unique_id,ds,y
0,passengers,1949-01-01,112
1,passengers,1949-02-01,118
2,passengers,1949-03-01,132
3,passengers,1949-04-01,129
4,passengers,1949-05-01,121
5,passengers,1949-06-01,135
6,passengers,1949-07-01,148
7,passengers,1949-08-01,148
8,passengers,1949-09-01,136
9,passengers,1949-10-01,119
10,passengers,1949-11-01,104
11,passengers,1949-12-01,118
12,passengers,1950-01-01,115
13,passengers,1950-02-01,126
14,passengers,1950-03-01,141
15,passengers,1950-04-01,135
16,passengers,1950-05-01,125
17,passengers,1950-06-01,149
18,passengers,1950-07-01,170
19,passengers,1950-08-01,170
20,passengers,1950-09-01,158
21,passengers,1950-10-01,133
22,passengers,1950-11-01,114
23,passengers,1950-12-01,140
24,passengers,1951-01-01,145
25,passengers,1951-02-01,150
26,passengers,1951-03-01,178
27,passengers,1951-04-01,163
28,passengers,1951-05-01,172
29,passengers,1951-06-01,178
30,passengers,1951-07-01,199
31,passengers,1951-08-01,199
32,passengers,1951-09-01,184
33,passengers,1951-10-01,162
34,passengers,1951-11-01,146
35,passengers,1951-12-01,166
36,passengers,1952-01-01,171
37,passengers,1952-02-01,180
38,passengers,1952-03-01,193
39,passengers,1952-04-01,181
40,passengers,1952-05-01,183
41,passengers,1952-06-01,218
42,passengers,1952-07-01,230
43,passengers,1952-08-01,242
44,passengers,1952-09-01,209
45,passengers,1952-10-01,191
46,passengers,1952-11-01,172
47,passengers,1952-12-01,194
48,passengers,1953-01-01,196
49,passengers,1953-02-01,196
50,passengers,1953-03-01,236
51,passengers,1953-04-01,235
52,passengers,1953-05-01,229
53,passengers,1953-06-01,243
54,passengers,1953-07-01,264
55,passengers,1953-08-01,272
56,passengers,1953-09-01,237
57,passengers,1953-10-01,211
58,passengers,1953-11-01,180
59,passengers,1953-12-01,201
60,passengers,1954-01-01,204
61,passengers,1954-02-01,188
62,passengers,1954-03-01,235
63,passengers,1954-04-01,227
64,passengers,1954-05-01,234
65,passengers,1954-06-01,264
66,passengers,1954-07-01,302
67,passengers,1954-08-01,293
68,passengers,1954-09-01,259
69,passengers,1954-10-01,229
70,passengers,1954-11-01,203
71,passengers,1954-12-01,229
72,passengers,1955-01-01,242
73,passengers,1955-02-01,233
74,passengers,1955-03-01,267
75,passengers,1955-04-01,269
76,passengers,1955-05-01,270
77,passengers,1955-06-01,315
78,passengers,1955-07-01,364
79,passengers,1955-08-01,347
80,passengers,1955-09-01,312
81,passengers,1955-10-01,274
82,passengers,1955-11-01,237
83,passengers,1955-12-01,278
84,passengers,1956-01-01,284
85,passengers,1956-02-01,277
86,passengers,1956-03-01,317
87,passengers,1956-04-01,313
88,passengers,1956-05-01,318
89,passengers,1956-06-01,374
90,passengers,1956-07-01,413
91,passengers,1956-08-01,405
92,passengers,1956-09-01,355
93,passengers,1956-10-01,306
94,passengers,1956-11-01,271
95,passengers,1956-12-01,306
96,passengers,1957-01-01,315
97,passengers,1957-02-01,301
98,passengers,1957-03-01,356
99,passengers,1957-04-01,348
100,passengers,1957-05-01,355
101,passengers,1957-06-01,422
102,passengers,1957-07-01,465
103,passengers,1957-08-01,467
104,passengers,1957-09-01,404
105,passengers,1957-10-01,347
106,passengers,1957-11-01,305
107,passengers,1957-12-01,336
108,passengers,1958-01-01,340
109,passengers,1958-02-01,318
110,passengers,1958-03-01,362
111,passengers,1958-04-01,348
112,passengers,1958-05-01,363
113,passengers,1958-06-01,435
114,passengers,1958-07-01,491
115,passengers,1958-08-01,505
116,passengers,1958-09-01,404
117,passengers,1958-10-01,359
118,passengers,1958-11-01,310
119,passengers,1958-12-01,337
120,passengers,1959-01-01,360
121,passengers,1959-02-01,342
122,passengers,1959-03-01,406
123,passengers,1959-04-01,396
124,passengers,1959-05-01,420
125,passengers,1959-06-01,472
126,passengers,1959-07-01,548
127,passengers,1959-08-01,559
128,passengers,1959-09-01,463
129,passengers,1959-10-01,407
130,passengers,1959-11-01,362
131,passengers,1959-12-01,405
132,passengers,1960-01-01,417
133,passengers,1960-02-01,391
134,passengers,1960-03-01,419
135,passengers,1960-04-01,461
136,passengers,1960-05-01,472
137,passengers,1960-06-01,535
138,passengers,1960-07-01,622
139,passengers,1960-08-01,606
140,passengers,1960-09-01,508
141,passengers,1960-10-01,461
142,passengers,1960-11-01,390
143,passengers,1960-12-01,432
